Mesh_2
49
0 0 0 0 1 0 0 2 0 
0 3 0 0 4 0 0 5 0 
0 6 0 1 0 0 1 1 0 
1 2 0 1 3 0 1 4 0 
1 5 0 1 6 0 2 0 0 
2 1 0 2 2 0 2 3 0 
2 4 0 2 5 0 2 6 0 
3 0 0 3 1 0 3 2 0 
3 3 0 3 4 0 3 5 0 
3 6 0 4 0 0 4 1 0 
4 2 0 4 3 0 4 4 0 
4 5 0 4 6 0 5 0 0 
5 1 0 5 2 0 5 3 0 
5 4 0 5 5 0 5 6 0 
6 0 0 6 1 0 6 2 0 
6 3 0 6 4 0 6 5 0 
6 6 0 
3 1 7 0 
3 8 7 1 
3 2 8 1 
3 9 8 2 
3 3 9 2 
3 10 9 3 
3 4 10 3 
3 11 10 4 
3 5 11 4 
3 12 11 5 
3 6 12 5 
3 13 12 6 
3 8 14 7 
3 15 14 8 
3 9 15 8 
3 16 15 9 
3 10 16 9 
3 17 16 10 
3 11 17 10 
3 18 17 11 
3 12 18 11 
3 19 18 12 
3 13 19 12 
3 20 19 13 
3 15 21 14 
3 22 21 15 
3 16 22 15 
3 23 22 16 
3 17 23 16 
3 24 23 17 
3 18 24 17 
3 25 24 18 
3 19 25 18 
3 26 25 19 
3 20 26 19 
3 27 26 20 
3 22 28 21 
3 29 28 22 
3 23 29 22 
3 30 29 23 
3 24 30 23 
3 31 30 24 
3 25 31 24 
3 32 31 25 
3 26 32 25 
3 33 32 26 
3 27 33 26 
3 34 33 27 
3 29 35 28 
3 36 35 29 
3 30 36 29 
3 37 36 30 
3 31 37 30 
3 38 37 31 
3 32 38 31 
3 39 38 32 
3 33 39 32 
3 40 39 33 
3 34 40 33 
3 41 40 34 
3 36 42 35 
3 43 42 36 
3 37 43 36 
3 44 43 37 
3 38 44 37 
3 45 44 38 
3 39 45 38 
3 46 45 39 
3 40 46 39 
3 47 46 40 
3 41 47 40 
3 48 47 41 
-1
